0	1	2	3	4	5	6	7	8
95.64	45.0	114.0	1023.0	1023.0	0.0	183.0	0.0	183.0
95.66	43.0	105.0	1023.0	1023.0	0.0	201.0	0.0	201.0
95.68	48.0	123.0	1023.0	1023.0	0.0	161.0	0.0	161.0
95.7	45.0	109.0	1023.0	1023.0	0.0	198.0	0.0	198.0
95.72	48.0	122.0	1023.0	1023.0	0.0	163.0	0.0	163.0
95.74	44.0	110.0	1023.0	1023.0	0.0	190.0	0.0	190.0
95.76	45.0	115.0	1023.0	1023.0	0.0	171.0	0.0	171.0
95.78	52.0	130.0	1023.0	1023.0	0.0	162.0	0.0	162.0
95.8	44.0	110.0	1023.0	1023.0	0.0	197.0	0.0	197.0
95.82	55.0	142.0	1023.0	1023.0	0.0	179.0	0.0	179.0
95.84	53.0	143.0	1023.0	1023.0	0.0	266.0	0.0	266.0
95.86	56.0	154.0	1023.0	1023.0	0.0	287.0	0.0	287.0
95.88	57.0	160.0	1023.0	1023.0	0.0	332.0	0.0	332.0
95.9	55.0	156.0	1023.0	1023.0	0.0	394.0	0.0	394.0
95.92	62.0	178.0	1023.0	1023.0	0.0	333.0	0.0	333.0
